person_income;person_emp_exp;loan_amnt;loan_intent;loan_int_rate;loan_percent_income;cb_person_cred_hist_length;credit_score;previous_loan_defaults_on_file;loan_status;tenure
128650;29;29790;VENTURE;1119;23;230;693;No;1;4
128860;1;12290;VENTURE;732;1;40;661;Yes;0;4
129220;10;26500;DEBTCONSOLIDATION;74;21;90;584;No;1;6
129510;0;25000;VENTURE;714;19;20;532;No;1;5
129650;2;14000;VENTURE;1083;11;40;655;No;0;3
129790;4;53650;HOMEIMPROVEMENT;1152;41;30;478;No;1;6
129800;8;10000;MEDICAL;1101;8;100;644;No;1;7
129930;8;32500;PERSONAL;1112;25;90;662;No;1;9
129950;1;30000;PERSONAL;79;23;30;640;No;1;10
130040;7;12000;VENTURE;1411;9;60;709;No;1;5
130110;4;17500;DEBTCONSOLIDATION;1505;13;30;542;No;1;6
130210;1;10000;HOMEIMPROVEMENT;1474;8;40;610;No;1;5
130300;1;10000;PERSONAL;1392;8;60;622;No;1;8
130490;0;14500;MEDICAL;751;11;40;661;Yes;0;8
130590;0;10000;PERSONAL;1037;8;20;541;No;1;6
130920;1;17830;DEBTCONSOLIDATION;793;14;30;579;No;1;5
131070;2;17500;VENTURE;749;13;30;624;No;1;5
131130;0;45000;HOMEIMPROVEMENT;863;34;20;651;No;1;3
131480;1;20000;DEBTCONSOLIDATION;1025;15;20;623;No;1;7
131780;0;32500;VENTURE;1101;25;20;668;No;1;6
131970;1;10000;HOMEIMPROVEMENT;1343;8;40;722;No;1;3
132010;3;10000;PERSONAL;1361;8;60;690;No;1;3
132430;10;33660;EDUCATION;927;25;120;652;No;1;4
132560;0;21000;VENTURE;1221;16;30;601;No;1;2
132790;6;55000;HOMEIMPROVEMENT;1036;41;80;659;No;1;0
132870;11;42500;VENTURE;1268;32;50;648;No;1;6
132940;0;70000;HOMEIMPROVEMENT;1221;53;20;652;No;1;9
132980;0;30000;PERSONAL;79;23;30;588;No;1;7
133200;6;47500;PERSONAL;1472;36;70;619;No;1;6
133570;18;35500;HOMEIMPROVEMENT;1149;27;150;658;No;1;4
133760;8;72000;VENTURE;603;54;80;715;No;1;1
134250;1;51320;HOMEIMPROVEMENT;92;38;30;503;No;1;6
134450;2;17500;DEBTCONSOLIDATION;1472;13;30;560;No;1;6
134540;0;10000;VENTURE;1036;7;40;621;Yes;0;9
134750;17;35420;EDUCATION;1144;26;150;673;No;1;2
135060;8;24000;PERSONAL;999;18;70;645;No;1;7
135400;1;48430;PERSONAL;1154;36;30;684;No;1;4
136110;0;28000;DEBTCONSOLIDATION;999;21;40;563;No;1;6
136650;7;20000;VENTURE;1472;15;50;551;No;1;8
136830;4;42000;DEBTCONSOLIDATION;1183;31;50;507;No;1;5
136900;0;49120;HOMEIMPROVEMENT;993;36;30;679;No;1;7
137120;1;36000;MEDICAL;1223;26;30;635;No;1;7
137670;16;25000;EDUCATION;1484;18;50;669;No;1;4
137770;8;20000;MEDICAL;1472;15;60;677;No;1;9
138170;1;10000;MEDICAL;1025;7;20;667;No;1;7
138290;4;24350;EDUCATION;999;18;70;622;No;1;10
138470;5;15000;PERSONAL;1148;11;90;675;No;1;6
138650;0;38030;HOMEIMPROVEMENT;892;27;40;666;No;1;3
138660;0;15000;PERSONAL;729;11;30;600;Yes;0;5
138720;2;12490;MEDICAL;1071;9;40;651;Yes;0;2
138880;0;50000;HOMEIMPROVEMENT;788;36;30;691;No;1;3
138900;6;16470;MEDICAL;1119;12;50;610;No;1;6
139360;0;36000;VENTURE;1223;26;30;600;No;1;5
139720;5;22410;MEDICAL;105;16;70;615;No;1;8
139870;3;50000;VENTURE;788;36;20;638;No;1;7
139890;1;14000;PERSONAL;932;1;40;688;Yes;0;3
139980;3;33900;EDUCATION;1116;24;30;639;No;1;4
140350;8;20000;EDUCATION;1472;14;60;620;No;1;2
140470;10;24000;EDUCATION;999;17;70;480;No;1;5
140600;13;30000;VENTURE;1677;21;110;588;No;1;2
140900;0;35270;DEBTCONSOLIDATION;1178;25;30;668;No;1;9
141090;3;21500;MEDICAL;1078;15;70;659;No;1;5
141740;38;40000;PERSONAL;1221;28;250;633;No;1;5
141820;0;14000;VENTURE;932;1;40;660;Yes;0;7
142240;0;12000;EDUCATION;691;8;30;661;Yes;0;1
142640;8;24950;PERSONAL;999;17;70;656;No;1;8
142830;1;17500;EDUCATION;1099;12;20;679;No;1;5
142880;0;45750;VENTURE;1774;32;30;626;No;1;12
142930;0;14000;PERSONAL;932;1;30;607;No;0;2
143410;20;19500;EDUCATION;1101;14;110;707;No;1;4
143500;4;21500;DEBTCONSOLIDATION;1078;15;60;672;No;1;6
143820;0;34000;MEDICAL;1101;24;20;589;No;1;4
144200;2;25000;PERSONAL;888;17;20;637;No;1;7
145060;0;38000;HOMEIMPROVEMENT;888;26;40;672;No;1;6
145880;8;21440;MEDICAL;1079;15;70;576;No;1;10
146150;10;21000;MEDICAL;676;14;60;691;No;1;7
146380;3;23250;DEBTCONSOLIDATION;639;16;70;620;No;1;5
146860;7;56000;PERSONAL;1348;38;100;666;No;1;6
146950;10;21000;MEDICAL;679;14;70;626;No;1;3
147100;4;57000;MEDICAL;749;39;40;665;No;1;8
147630;0;10000;MEDICAL;1299;7;40;540;Yes;0;6
148110;8;17500;MEDICAL;1273;12;50;577;Yes;0;6
148400;1;67000;EDUCATION;766;45;40;543;No;1;8
148580;0;20000;MEDICAL;1112;13;30;589;No;1;8
148980;6;20770;EDUCATION;777;14;60;698;No;1;4
149360;21;19500;EDUCATION;1101;13;110;636;No;1;7
149800;6;45000;EDUCATION;1505;3;90;664;No;1;6
149880;0;40000;EDUCATION;1284;27;20;553;No;1;5
149970;0;10000;EDUCATION;1398;7;20;669;Yes;0;0
150130;0;15000;EDUCATION;1484;1;30;688;No;0;2
150150;7;10000;DEBTCONSOLIDATION;106;7;30;659;No;0;4
150160;0;21000;EDUCATION;894;14;20;622;No;1;8
150240;0;30000;EDUCATION;136;2;30;619;No;1;4
150270;5;28500;PERSONAL;1361;19;50;656;No;1;3
150820;0;25000;VENTURE;1269;17;30;631;No;1;10
150830;2;40000;MEDICAL;1065;27;40;505;No;1;4
151000;19;20000;VENTURE;1065;13;110;622;No;1;4
151000;0;60000;DEBTCONSOLIDATION;887;4;40;687;No;1;6
151020;1;10000;PERSONAL;1357;7;30;559;No;1;5
151040;9;15000;MEDICAL;1183;1;60;653;No;0;5
151100;1;10000;DEBTCONSOLIDATION;145;7;40;632;Yes;0;3
151340;0;16000;VENTURE;1059;11;20;550;Yes;0;8
151340;2;30000;EDUCATION;89;2;40;629;No;1;5
151490;6;62290;EDUCATION;625;41;90;664;No;1;5
151500;0;25000;EDUCATION;751;17;40;600;No;1;4
151520;18;48130;VENTURE;75;32;120;663;No;1;3
151530;1;30000;EDUCATION;89;2;40;594;No;1;7
151540;9;62000;EDUCATION;617;41;90;571;No;1;8
151580;4;10000;MEDICAL;1491;7;80;680;No;1;3
151620;1;30000;MEDICAL;1101;2;30;564;No;1;8
151630;3;35910;DEBTCONSOLIDATION;1019;24;20;686;No;1;6
151700;2;15000;VENTURE;699;1;20;647;Yes;0;9
151730;0;17750;MEDICAL;935;12;30;645;No;1;5
151760;1;15000;VENTURE;725;1;30;606;Yes;0;7
151760;0;55000;EDUCATION;1036;36;40;632;No;1;7
151860;0;24000;MEDICAL;692;16;20;665;No;1;5
151870;0;30650;EDUCATION;1046;2;30;649;No;1;4
151870;4;36000;DEBTCONSOLIDATION;962;24;20;620;No;1;3
151870;15;48000;EDUCATION;729;32;120;540;No;1;5
151920;5;24000;MEDICAL;1268;16;80;496;No;1;8
152020;1;22000;DEBTCONSOLIDATION;1101;14;30;617;No;1;3
152090;20;20000;HOMEIMPROVEMENT;988;13;110;553;No;1;4
152120;9;45000;HOMEIMPROVEMENT;1114;3;60;611;No;1;6
152190;7;57010;DEBTCONSOLIDATION;97;37;80;558;No;1;4
152290;1;17500;VENTURE;1101;11;30;631;Yes;0;4
152290;5;29130;EDUCATION;1196;19;50;631;No;1;2
152290;1;61000;EDUCATION;751;4;30;599;No;1;0
152370;0;32000;VENTURE;1149;21;20;631;No;1;6
152390;0;40000;VENTURE;976;26;30;524;No;1;4
152440;0;10000;MEDICAL;1357;7;30;628;No;1;5
152480;0;10000;VENTURE;1398;7;40;547;Yes;0;3
152520;0;42000;PERSONAL;1348;28;40;663;No;1;2
152550;2;10000;EDUCATION;1065;7;20;611;No;0;5
152570;4;81180;EDUCATION;1434;53;50;674;No;1;6
152780;2;45000;EDUCATION;1316;29;40;662;No;1;3
152800;0;58070;PERSONAL;675;38;40;650;No;1;6
152830;8;10000;EDUCATION;788;7;70;674;No;1;5
152830;6;24000;EDUCATION;1171;16;100;653;No;1;3
152850;0;32500;DEBTCONSOLIDATION;1568;21;20;707;No;1;4
152860;6;7250;DEBTCONSOLIDATION;737;5;60;631;No;0;4
152860;0;30000;VENTURE;788;2;30;566;No;1;1
152880;11;9000;MEDICAL;1028;6;50;657;No;1;2
152880;2;26900;EDUCATION;1096;18;40;649;No;1;4
152890;4;25000;EDUCATION;999;16;30;662;No;1;0
152990;3;30740;EDUCATION;1035;2;30;602;No;1;7
153010;9;60750;DEBTCONSOLIDATION;1242;4;80;661;No;1;6
153070;0;30000;EDUCATION;1361;2;30;557;No;1;6
153070;0;41460;MEDICAL;1357;27;40;661;No;1;6
153090;7;56000;PERSONAL;1218;37;100;655;No;1;3
153150;0;16000;EDUCATION;1059;1;20;638;No;1;5
153200;0;25000;PERSONAL;1269;16;40;596;No;1;7
153320;0;42000;MEDICAL;1348;27;40;645;No;1;5
153330;16;20000;DEBTCONSOLIDATION;1065;13;160;690;No;1;7
153400;10;93250;MEDICAL;838;61;60;673;No;1;5
153430;7;18000;MEDICAL;1435;12;50;648;Yes;0;4
153430;0;35000;EDUCATION;1565;23;20;694;No;1;11
153530;27;42000;MEDICAL;1101;27;140;650;No;1;7
153620;5;40000;MEDICAL;1101;26;90;529;No;1;4
153710;0;40000;HOMEIMPROVEMENT;1099;26;30;664;No;1;1
153830;0;30000;EDUCATION;873;2;40;567;No;1;11
153890;12;32000;MEDICAL;1101;21;70;608;No;1;10
153910;0;40000;MEDICAL;1126;26;40;656;No;1;3
153930;2;10000;MEDICAL;1452;6;70;553;No;1;7
153940;6;32000;PERSONAL;599;21;30;668;No;1;8
153940;0;32500;DEBTCONSOLIDATION;1568;21;30;518;No;1;3
153990;8;10000;HOMEIMPROVEMENT;1632;6;90;669;No;1;5
154020;17;15000;MEDICAL;1111;1;110;665;Yes;0;6
154030;2;20000;HOMEIMPROVEMENT;1189;13;40;608;No;1;5
154050;4;40000;PERSONAL;138;26;30;691;No;1;7
154070;2;32440;DEBTCONSOLIDATION;1044;21;90;627;No;1;6
154070;0;67000;MEDICAL;766;43;40;521;No;1;10
154100;8;50000;MEDICAL;849;32;100;645;No;1;1
154110;1;21000;MEDICAL;894;14;20;597;No;1;8
154120;0;20000;EDUCATION;774;13;40;528;No;1;7
154190;4;61000;HOMEIMPROVEMENT;751;4;40;631;No;1;0
154320;11;32500;HOMEIMPROVEMENT;1099;21;50;715;No;1;4
154320;3;47500;DEBTCONSOLIDATION;714;31;20;601;No;1;3
154360;2;10000;EDUCATION;1357;6;20;698;No;1;1
154400;0;50000;VENTURE;1144;32;30;603;No;1;2
154470;0;22000;PERSONAL;1101;14;40;656;No;1;5
154550;3;40000;VENTURE;1095;26;90;544;No;1;5
154570;6;32500;HOMEIMPROVEMENT;1055;21;80;657;No;1;4
154650;2;20590;EDUCATION;869;13;40;669;No;1;4
154720;0;47500;EDUCATION;1075;31;40;587;No;1;6
154740;8;61690;DEBTCONSOLIDATION;659;4;80;687;No;1;1
154750;5;20000;VENTURE;1072;13;70;587;No;1;2
154790;0;42000;EDUCATION;1348;27;40;660;No;1;10
154800;0;50000;VENTURE;1149;32;20;642;No;1;4
154870;4;43500;DEBTCONSOLIDATION;1298;28;40;590;No;1;6
154950;8;30000;EDUCATION;962;19;50;596;No;1;5
154970;6;40000;MEDICAL;1346;26;70;576;No;1;4
154980;1;60000;DEBTCONSOLIDATION;888;39;40;708;No;1;5
155000;8;16670;VENTURE;1129;11;50;684;No;0;8
155030;3;25000;VENTURE;1311;16;20;635;No;1;8
155040;13;40000;MEDICAL;1062;26;110;663;No;1;3
155050;0;27000;DEBTCONSOLIDATION;1101;17;40;587;No;1;4
155190;3;29720;EDUCATION;1151;19;40;608;No;1;4
155210;4;20000;MEDICAL;1075;13;60;711;No;1;10
155240;0;30750;PERSONAL;1037;2;20;667;No;1;3
155320;8;45000;EDUCATION;1505;29;90;619;No;1;5
155350;0;10000;EDUCATION;1361;6;20;627;Yes;0;6
155350;0;32500;HOMEIMPROVEMENT;999;21;20;671;No;1;7
155420;0;25000;EDUCATION;1269;16;40;655;No;1;3
155470;0;50000;EDUCATION;983;32;30;676;No;1;3
155480;1;30000;PERSONAL;89;19;30;656;No;1;2
155490;6;45000;DEBTCONSOLIDATION;1304;29;50;601;No;1;4
155530;3;10000;DEBTCONSOLIDATION;1465;6;30;602;Yes;0;6
155570;0;36000;DEBTCONSOLIDATION;832;23;20;637;No;1;2
155570;0;40000;VENTURE;101;26;30;691;No;1;4
155810;5;50000;VENTURE;692;32;40;540;No;1;6
155830;22;41110;MEDICAL;1084;26;130;532;No;1;5
155840;0;65050;EDUCATION;761;42;40;599;No;1;4
155870;13;40000;MEDICAL;1062;26;120;611;No;1;2
155900;23;19500;MEDICAL;1269;13;120;645;No;1;4
156010;3;24000;MEDICAL;1268;15;80;664;No;1;4
156120;4;30000;EDUCATION;874;19;30;676;No;1;4
156280;5;24000;PERSONAL;1268;15;80;666;No;1;4
156330;2;58250;PERSONAL;662;37;40;680;No;1;5
156560;5;15000;VENTURE;138;1;50;682;Yes;0;7
156750;4;81250;EDUCATION;1442;52;50;505;No;1;4
156800;15;40000;EDUCATION;999;26;130;696;No;1;5
156900;9;21000;PERSONAL;1249;13;70;686;No;1;1
156930;16;48000;DEBTCONSOLIDATION;729;31;120;587;No;1;3
156950;4;40000;VENTURE;1422;25;70;633;No;1;4
156960;0;40000;VENTURE;1099;25;40;637;No;1;10
157520;15;15000;VENTURE;1168;1;80;630;Yes;0;4
157530;0;25000;MEDICAL;1199;16;40;572;No;1;3
158020;2;25070;PERSONAL;1256;16;20;675;No;1;6
158230;3;79130;EDUCATION;1192;5;50;525;No;1;5
158400;6;10000;EDUCATION;89;6;90;688;No;0;7
158470;10;24000;PERSONAL;1101;15;100;642;No;1;4
158560;7;32500;VENTURE;1036;2;90;658;No;1;5
158830;4;24770;PERSONAL;1262;16;40;646;No;1;6
159280;1;16000;MEDICAL;1357;1;30;689;Yes;0;4
159350;2;73500;VENTURE;692;46;20;710;No;1;7
159810;0;25000;VENTURE;1235;16;20;593;No;1;5
160000;16;40000;VENTURE;999;25;130;724;No;1;2
160200;0;40000;PERSONAL;1037;25;40;625;No;1;6
160770;3;10000;PERSONAL;1496;6;30;642;No;1;3
161180;7;20360;PERSONAL;1553;13;70;569;No;1;4
161450;0;75000;EDUCATION;705;46;40;521;No;1;6
161830;0;63000;VENTURE;1385;39;30;631;No;1;1
162110;2;17500;PERSONAL;1361;11;30;597;Yes;0;4
162180;1;20000;PERSONAL;542;12;40;614;No;1;8
162480;1;50000;VENTURE;1075;31;40;606;No;1;3
162810;0;35000;MEDICAL;859;21;40;589;No;1;9
162820;10;80000;VENTURE;1284;49;100;623;No;1;5
162880;12;15000;MEDICAL;925;9;70;619;Yes;0;7
163010;0;47500;VENTURE;1101;29;20;640;No;1;5
163780;0;30000;DEBTCONSOLIDATION;1287;18;40;603;No;1;6
163880;1;75020;VENTURE;706;46;50;692;No;1;7
163950;4;36000;MEDICAL;1459;22;30;646;No;1;1
164120;0;92500;DEBTCONSOLIDATION;1253;56;30;707;No;1;4
164250;5;20000;PERSONAL;1719;12;60;675;No;1;7
164330;9;17500;MEDICAL;676;11;100;642;No;0;4
164430;4;16250;MEDICAL;765;1;80;656;No;0;5
164510;2;28000;PERSONAL;1521;17;20;682;No;1;6
164700;2;45000;DEBTCONSOLIDATION;1183;27;40;643;No;1;8
164940;2;15500;HOMEIMPROVEMENT;1527;9;20;646;No;1;6
165550;0;18750;DEBTCONSOLIDATION;699;11;30;630;Yes;0;5
165580;6;40000;PERSONAL;1565;24;30;573;No;1;2
165590;3;50000;DEBTCONSOLIDATION;80;3;20;596;No;1;7
165720;0;36500;HOMEIMPROVEMENT;991;22;30;589;No;1;5
165920;2;13010;MEDICAL;1056;8;40;631;No;0;2
165990;0;24000;DEBTCONSOLIDATION;1349;14;20;505;No;1;7
166040;0;25250;VENTURE;1101;15;20;684;No;1;4
166040;5;70000;HOMEIMPROVEMENT;962;42;90;686;No;1;4
166160;0;25000;HOMEIMPROVEMENT;788;15;20;665;No;1;6
166300;1;12000;MEDICAL;1189;7;20;624;No;0;5
166310;11;38000;PERSONAL;729;23;90;497;No;1;3
166400;0;24410;VENTURE;1427;15;30;618;No;1;9
166480;0;25000;HOMEIMPROVEMENT;991;15;30;657;No;1;5
166640;0;45000;VENTURE;1298;27;40;601;No;1;5
166710;2;63510;VENTURE;1304;38;30;730;No;1;0
166840;7;14620;MEDICAL;959;9;70;675;No;0;9
166840;19;25000;DEBTCONSOLIDATION;1101;15;140;634;No;1;4
166870;2;71090;VENTURE;878;43;70;587;No;1;5
166990;16;25000;VENTURE;1069;15;120;652;No;1;5
167180;0;24000;PERSONAL;1682;14;30;605;No;1;7
167200;1;24570;VENTURE;1289;15;40;636;No;1;3
167330;9;39490;PERSONAL;1371;24;70;652;No;1;2
167350;0;27280;DEBTCONSOLIDATION;1411;16;20;674;No;1;2
167550;1;40000;PERSONAL;988;24;20;609;No;1;4
167690;0;12720;MEDICAL;1094;8;30;672;No;0;9
167790;0;40000;PERSONAL;1429;24;30;624;No;1;3
168250;4;40000;VENTURE;1565;24;30;529;No;1;4
168400;5;49500;HOMEIMPROVEMENT;963;29;30;660;No;1;4
168420;0;46970;VENTURE;1269;28;40;586;No;1;2
168450;0;15590;MEDICAL;849;9;40;586;Yes;0;5
168730;3;40000;EDUCATION;579;24;30;640;No;1;4
168810;0;25000;VENTURE;991;15;40;620;No;1;5
168900;0;47500;EDUCATION;1101;28;30;645;No;1;5
168950;17;25000;VENTURE;1101;15;150;696;No;1;4
169040;2;24490;VENTURE;1369;14;30;650;No;1;9
169040;0;28000;HOMEIMPROVEMENT;1521;17;20;632;No;1;1
169060;1;40000;PERSONAL;736;24;30;558;No;1;8
169160;2;14000;EDUCATION;925;8;40;615;No;0;4
169340;12;24000;EDUCATION;1749;14;110;674;No;1;2
169360;2;30000;DEBTCONSOLIDATION;1101;18;30;524;No;1;8
169380;6;67000;PERSONAL;963;4;50;635;No;1;7
169490;0;40000;HOMEIMPROVEMENT;639;24;30;664;No;1;3
169710;3;38410;PERSONAL;989;23;30;594;No;1;10
169910;2;66250;DEBTCONSOLIDATION;863;39;30;615;No;1;1
170190;0;48000;MEDICAL;1253;28;40;522;No;1;7
170360;7;80000;MEDICAL;1218;47;50;654;No;1;6
170610;7;44750;VENTURE;1689;26;90;694;No;1;5
171000;4;79130;HOMEIMPROVEMENT;1389;46;50;597;No;1;3
171270;2;28000;PERSONAL;1461;16;20;597;No;1;2
171400;1;24000;VENTURE;1727;14;20;610;No;1;5
171450;8;30000;MEDICAL;1099;17;60;621;No;1;5
171490;0;49500;DEBTCONSOLIDATION;79;29;40;531;No;1;4
171560;14;38500;DEBTCONSOLIDATION;999;22;120;689;No;1;5
171650;1;60000;MEDICAL;749;35;30;593;No;1;5
173160;0;47500;PERSONAL;1273;27;30;678;No;1;8
173830;0;35000;VENTURE;996;2;20;694;No;1;5
174210;23;17000;EDUCATION;1316;1;130;631;Yes;0;2
174400;2;77240;HOMEIMPROVEMENT;1689;44;50;635;No;1;4
174410;5;80000;HOMEIMPROVEMENT;111;46;50;676;No;1;4
174950;1;47500;EDUCATION;1273;27;20;632;No;1;5
176020;2;34500;HOMEIMPROVEMENT;1269;2;30;691;No;1;3
176180;2;15000;MEDICAL;888;9;20;660;No;0;7
176230;9;67000;VENTURE;963;38;80;655;No;1;3
176830;0;10000;DEBTCONSOLIDATION;100;6;40;562;No;1;5
177160;0;15000;DEBTCONSOLIDATION;1101;8;40;580;No;0;4
177160;0;20000;MEDICAL;1101;11;40;539;Yes;0;3
177280;10;47910;EDUCATION;737;27;80;713;No;1;8
177490;10;34630;EDUCATION;1227;2;60;633;No;1;8
177550;1;40000;DEBTCONSOLIDATION;1101;23;30;580;No;1;10
